date,open,high,low,close,volume
1973-03-09,0.3861,0.3878,0.3856,0.3878,2386
1973-03-12,0.3878,0.3878,0.385,0.385,2507
1973-03-13,0.385,0.3884,0.385,0.3884,5641
1973-03-14,0.3889,0.3973,0.3889,0.3973,4628
1973-03-15,0.3973,0.4007,0.3934,0.3934,5087
1973-03-16,0.3934,0.3951,0.3895,0.3912,2507
1973-03-19,0.3912,0.3945,0.3906,0.3923,3062
1973-03-20,0.3923,0.3934,0.3895,0.3895,7112
1973-03-21,0.3895,0.3906,0.3839,0.3839,5351
1973-03-22,0.3817,0.3817,0.3728,0.3728,20324
1973-03-23,0.3728,0.3739,0.3644,0.3711,7328
1973-03-26,0.3712,0.3728,0.3661,0.3678,9090
1973-03-27,0.3689,0.3739,0.3689,0.3717,5135
1973-03-28,0.3716,0.3739,0.3666,0.3705,3110
1973-03-29,0.3717,0.3806,0.3717,0.3806,4942
1973-03-30,0.3806,0.3817,0.3711,0.3722,2001
1973-04-02,0.3717,0.3717,0.3666,0.3683,3447
1973-04-03,0.3683,0.3706,0.3661,0.3689,7233
1973-04-04,0.3667,0.3667,0.3633,0.3639,6751
1973-04-05,0.3638,0.3683,0.3622,0.3683,3110
1973-04-06,0.3683,0.3706,0.3655,0.3689,4846
1973-04-09,0.3688,0.3716,0.3649,0.3705,4001
1973-04-10,0.3744,0.3794,0.3744,0.3783,4941
1973-04-11,0.375,0.375,0.3705,0.375,2941
1973-04-12,0.375,0.3773,0.365,0.37,4629
1973-04-13,0.37,0.3717,0.3655,0.37,2290
1973-04-16,0.3689,0.3689,0.3667,0.3678,2363
1973-04-17,0.3677,0.3683,0.3632,0.3666,2411
1973-04-18,0.3655,0.3655,0.3616,0.3644,5520
1973-04-19,0.366,0.3795,0.366,0.3761,4677
1973-04-23,0.3761,0.3794,0.375,0.3783,2483
1973-04-24,0.3783,0.385,0.3783,0.3828,3254
1973-04-25,0.3828,0.3839,0.38,0.3811,1639
1973-04-26,0.3811,0.3817,0.3756,0.3817,2989
1973-04-27,0.3806,0.3806,0.3733,0.3733,2579
1973-04-30,0.3733,0.3739,0.3672,0.3739,1784
1973-05-01,0.3734,0.3734,0.3706,0.3728,2507
1973-05-02,0.3728,0.3762,0.3717,0.3717,3448
1973-05-03,0.3717,0.3739,0.3622,0.3728,4701
1973-05-04,0.375,0.3778,0.3672,0.375,2772
1973-05-07,0.375,0.3778,0.37,0.3778,2146
1973-05-08,0.3778,0.3778,0.375,0.3778,3206
1973-05-09,0.3778,0.3778,0.375,0.375,3254
1973-05-10,0.375,0.3778,0.37,0.375,2411
1973-05-11,0.375,0.375,0.37,0.37,2869
1973-05-14,0.37,0.37,0.3622,0.3622,4075
1973-05-15,0.3622,0.3672,0.3594,0.3672,2748
1973-05-16,0.3672,0.3672,0.3622,0.3672,3448
1973-05-17,0.3672,0.3672,0.3622,0.3672,1350
1973-05-18,0.3672,0.3672,0.3622,0.3672,5400
1973-05-21,0.3672,0.37,0.3622,0.37,4460
1973-05-22,0.37,0.375,0.37,0.37,5015
1973-05-23,0.37,0.375,0.37,0.37,1784
1973-05-24,0.37,0.3778,0.37,0.3778,2845
1973-05-25,0.3778,0.3778,0.375,0.375,4580
1973-05-29,0.375,0.375,0.37,0.375,3471
1973-05-30,0.37,0.37,0.3672,0.37,4677
1973-05-31,0.37,0.375,0.3672,0.37,1567
1973-06-01,0.37,0.37,0.37,0.37,1543
1973-06-04,0.3711,0.3711,0.3555,0.3605,15429
1973-06-05,0.3605,0.3605,0.3555,0.3605,3168
1973-06-06,0.3605,0.3605,0.3555,0.3555,3507
1973-06-07,0.3555,0.3605,0.3555,0.3605,4958
1973-06-08,0.3606,0.3684,0.3555,0.3684,2903
1973-06-11,0.3683,0.3683,0.3605,0.3605,846
1973-06-12,0.3633,0.3762,0.3633,0.3762,2418
1973-06-13,0.3762,0.379,0.3762,0.3762,2975
1973-06-14,0.3763,0.3763,0.3712,0.3712,1427
1973-06-15,0.3712,0.3712,0.3634,0.3684,1306
1973-06-18,0.3633,0.3633,0.3605,0.3605,1910
1973-06-19,0.3605,0.3605,0.3527,0.3555,2926
1973-06-20,0.3555,0.3555,0.3527,0.3555,2394
1973-06-21,0.3555,0.3605,0.3555,0.3605,2660
1973-06-22,0.3605,0.3683,0.3605,0.3605,3627
1973-06-25,0.3605,0.3605,0.3605,0.3605,1306
1973-06-26,0.3605,0.3633,0.3605,0.3633,2733
1973-06-27,0.3634,0.3684,0.3606,0.3684,1838
1973-06-28,0.3684,0.3712,0.3634,0.3684,798
1973-06-29,0.3684,0.3684,0.3634,0.3684,1355
1973-07-02,0.3683,0.3683,0.3633,0.3633,1403
1973-07-03,0.3633,0.3633,0.3633,0.3633,2878
1973-07-05,0.3633,0.3633,0.3555,0.3555,3821
1973-07-06,0.3555,0.3605,0.3555,0.3555,2056
1973-07-09,0.3555,0.3555,0.3499,0.3555,2056
1973-07-10,0.3555,0.3555,0.3555,0.3555,1233
1973-07-11,0.3555,0.3633,0.3555,0.3605,3894
1973-07-12,0.3605,0.3633,0.3605,0.3633,1814
1973-07-13,0.3633,0.3633,0.3605,0.3605,822
1973-07-16,0.3606,0.3712,0.3606,0.3684,1306
1973-07-17,0.3711,0.3762,0.3711,0.3762,2128
1973-07-18,0.3762,0.379,0.3712,0.379,2128
1973-07-19,0.379,0.379,0.3762,0.3762,2007
1973-07-20,0.3762,0.3762,0.3633,0.3633,2878
1973-07-23,0.3634,0.3712,0.3634,0.3684,2153
1973-07-24,0.3683,0.3762,0.3633,0.3762,2297
1973-07-25,0.3762,0.3762,0.3711,0.3762,8222
1973-07-26,0.3762,0.379,0.3711,0.3762,21741
1973-07-27,0.3762,0.379,0.3762,0.379,3966
1973-07-30,0.3791,0.3869,0.3791,0.3869,2322
1973-07-31,0.3868,0.3868,0.3818,0.3818,1572
1973-08-01,0.3818,0.3818,0.3818,0.3818,1088
1973-08-02,0.3818,0.3818,0.3762,0.3762,2660
1973-08-03,0.3762,0.379,0.3762,0.379,1040
1973-08-06,0.379,0.379,0.379,0.379,750
1973-08-07,0.379,0.3818,0.379,0.379,701
1973-08-08,0.379,0.379,0.3762,0.3762,967
1973-08-09,0.3762,0.379,0.3762,0.379,967
1973-08-10,0.379,0.379,0.3711,0.3762,943
1973-08-13,0.3762,0.3762,0.3711,0.3762,967
1973-08-14,0.3763,0.3763,0.3712,0.3712,1838
1973-08-15,0.3711,0.3711,0.3633,0.3633,2152
1973-08-16,0.3633,0.3683,0.3633,0.3633,1161
1973-08-17,0.3633,0.3633,0.3605,0.3605,1088
1973-08-20,0.3605,0.3633,0.3605,0.3605,967
1973-08-21,0.3605,0.3605,0.3555,0.3555,1596
1973-08-22,0.3555,0.3555,0.3555,0.3555,10255
1973-08-23,0.3555,0.3605,0.3555,0.3555,2757
1973-08-24,0.3555,0.3605,0.3555,0.3555,2298
1973-08-27,0.3555,0.3605,0.3555,0.3605,1040
1973-08-28,0.3605,0.3633,0.3605,0.3605,967
1973-08-29,0.3634,0.3712,0.3634,0.3684,1669
1973-08-30,0.3683,0.3683,0.3633,0.3633,1427
1973-08-31,0.3619,0.3698,0.3619,0.3619,2282
1973-09-04,0.3647,0.3697,0.3647,0.3647,1311
1973-09-05,0.3647,0.3647,0.3619,0.3619,947
1973-09-06,0.3619,0.3697,0.3619,0.3647,704
1973-09-07,0.3647,0.3697,0.3647,0.3647,1457
1973-09-10,0.3647,0.3697,0.3618,0.3697,2452
1973-09-11,0.3647,0.3647,0.3647,0.3647,825
1973-09-12,0.3647,0.3647,0.3647,0.3647,461
